pathophysiologic finding,RID4736.Observation
Burns disease,RID29062.Observation
Brailsford disease,RID29060.Observation
Van Neck disease,RID29082.Observation
osteochondritis,RID5380.Observation
Freiberg infraction,RID5370.Observation
Köhler disease,RID5371.Observation
avascular necrosis of capital femoral epiphysis,RID5372.Observation
Osgood-Schlatter disease,RID5377.Observation
Scheuermann disease,RID5378.Observation
Sever disease,RID5379.Observation
osteochondritis dissecans,RID5381.Observation
Group I Legg-Calve-Perthes disease,RID5373.Observation
Group II Legg-Calve-Perthes disease,RID5374.Observation
Group III Legg-Calve-Perthes disease,RID5375.Observation
Group IV Legg-Calve-Perthes disease,RID5376.Observation
mineral deposition disorder,RID5194.Observation
crystal deposition,RID5191.Observation
pigment deposition,RID5208.Observation
glycogen deposition,RID5212.Observation
amyloid deposition,RID5188.Observation
fat deposition,RID5216.Observation
cholesterol deposition,RID5214.Observation
fluorosis,RID5207.Observation
calcification,RID5196.Observation
iron overload,RID5203.Observation
calcification disorder,RID34606.Observation
milk of calcium,RID5197.Observation
broncholith,RID28501.Observation
amorphous calcification,RID29214.Observation
eggshell calcification,RID29212.Observation
coarse calcification,RID29213.Observation
milk of calcium calcification,RID34249.Observation
phlebolith,RID34646.Observation
fine linear calcification,RID34255.Observation
skin calcification,RID34252.Observation
suture calcification,RID34296.Observation
vascular calcification,RID34253.Observation
large rod-like calcification,RID34248.Observation
coarse heterogeneous calcification,RID34256.Observation
fine pleomorphic calcification,RID34257.Observation
dystrophic calcification,RID34246.Observation
optic nerve drusen,RID5201.Observation
tumoral calcinosis,RID5202.Observation
milk of calcium bile,RID5199.Observation
lucent-centered calcification,RID34250.Observation
round calcification,RID34251.Observation
hemochromatosis,RID5205.Observation
transfusional siderosis,RID5206.Observation
macrocalcifications,RID34369.Observation
porcelain gallbladder,RID5198.Observation
microcalcifications,RID34388.Observation
calcifications,RID34642.Observation
microlithiasis,RID34607.Observation
medullary nephrocalcinosis,RID35807.Observation
microcalcifications in mass,RID34368.Observation
microcalcifications out of mass,RID34367.Observation
pulmonary alveolar microlithiasis,RID34608.Observation
monosodium urate deposition,RID5192.Observation
tophus,RID5193.Observation
siderotic nodule,RID5209.Observation
superficial siderosis,RID5211.Observation
glycogenic acanthosis,RID5213.Observation
focal amyloid deposition,RID5189.Observation
lipomatous infiltration,RID5219.Observation
xanthoma,RID5221.Observation
steatosis,RID5217.Observation
perilesional steatosis,RID43299.Observation
cholesterolosis,RID5215.Observation
ossification of posterior longitudinal ligament,RID5224.Observation
sclerosis,RID5227.Observation
heterotopic ossification,RID5226.Observation
osteosclerosis,RID5228.Observation
acrosclerosis,RID5229.Observation
thinning,RID38667.Observation
phthisis bulbi,RID5170.Observation
denervation,RID5054.Observation
mucoid degeneration of ACL,RID34630.Observation
vacuolar myelopathy of HIV,RID5168.Observation
myxomatous degeneration,RID5124.Observation
neurodegenerative disease,RID5125.Observation
demyelinating disease,RID5048.Observation
fragmentation,RID5067.Observation
atrophy,RID5046.Observation
musculoskeletal degeneration,RID5068.Observation
Wernig-Hoffman disease,RID5169.Observation
Fahr syndrome,RID5150.Observation
neurosyphilis,RID5161.Observation
Cockayne Syndrome,RID5131.Observation
hereditary cerebellar atrophy,RID5153.Observation
Huntington chorea,RID5154.Observation
cerebellar olivary degeneration,RID5132.Observation
progressive supranuclear palsy,RID5165.Observation
olivopontocerebellar degeneration,RID5162.Observation
Parkinson disease,RID5163.Observation
Friedreich ataxia,RID5152.Observation
cerebrotendinous xanthomatosis,RID5130.Observation
deep grey nuclei disorder,RID5135.Observation
Machado-Joseph disease,RID5157.Observation
dementia,RID5136.Observation
multiple system atrophy,RID5158.Observation
Rett syndrome,RID5166.Observation
cortical basal ganglionic degeneration,RID5133.Observation
hypertrophic olivary degeneration,RID5155.Observation
subacute combined degeneration of spinal cord,RID5167.Observation
amyotrophic lateral sclerosis,RID5128.Observation
ataxia telangiectasia,RID5126.Observation
Dyke-Davidoff-Masson syndrome,RID5149.Observation
dementia with Lewy bodies,RID5142.Observation
dementia pugilistica,RID5143.Observation
frontotemporal dementia,RID5140.Observation
Alzheimer disease,RID5137.Observation
multi-infarct dementia,RID5148.Observation
central pontine myelinolysis,RID5050.Observation
multiple sclerosis,RID28801.Observation
extrapontine myelinolysis,RID5052.Observation
porencephaly,RID5047.Observation
enthesophyte,RID5072.Observation
rhabdomyolysis,RID5084.Observation
periosteal reaction,RID5082.Observation
osteophyte,RID5076.Observation
neuropathic joint,RID5074.Observation
spine degeneration,RID5085.Observation
diffuse idiopathic skeletal hyperostosis,RID5069.Observation
tendinosis,RID5123.Observation
enthesopathy,RID5073.Observation
central osteophyte,RID5081.Observation
periosteal osteophyte,RID5078.Observation
marginal osteophyte,RID5079.Observation
osteophytosis,RID5080.Observation
syndesmophyte,RID5119.Observation
endplate marrow change,RID5109.Observation
spondylolysis,RID5120.Observation
spondylosis deformans,RID5121.Observation
intervertebral disc degeneration,RID5086.Observation
discal displacement,RID5117.Observation
discogenic change,RID5118.Observation
spondylitis,RID5116.Observation
type 1 Endplate marrow change,RID5110.Observation
type 3 Endplate marrow change,RID5114.Observation
type 2 Endplate marrow change,RID5112.Observation
disc extrusion,RID5094.Observation
disc dessication,RID5087.Observation
disc height loss,RID5088.Observation
disc bulge,RID5089.Observation
disc herniation,RID5090.Observation
disc protrusion,RID5091.Observation
intervertebral osteochondrosis,RID5105.Observation
focal disc extrusion,RID5095.Observation
broad based disc extrusion,RID5096.Observation
sequestrated disc fragment,RID5097.Observation
migrated disc extrusion,RID5104.Observation
focal disc protrusion,RID5092.Observation
broad based disc protrusion,RID5093.Observation
inflammation,RID3382.Observation
infection,RID3710.Observation
mediastinitis,RID3490.Observation
osteitis,RID3524.Observation
cyclitis,RID3403.Observation
cholangiohepatitis,RID34596.Observation
dacryoadenitis,RID3406.Observation
otosclerosis,RID3527.Observation
cystitis,RID3405.Observation
pancreatitis,RID3529.Observation
diskitis,RID3407.Observation
diverticulitis,RID3409.Observation
lymphadenitis,RID3484.Observation
esophagitis,RID3440.Observation
vasculitis,RID3681.Observation
labyrinthitis,RID3483.Observation
malakoplakia,RID3488.Observation
croup,RID3400.Observation
fasciitis,RID3446.Observation
mastoiditis,RID3489.Observation
appendicitis,RID3383.Observation
sarcoidosis,RID34662.Observation
encephalomyelitis,RID3414.Observation
peritonitis,RID3535.Observation
endometritis,RID3417.Observation
granulomatous disease,RID34787.Observation
enteritis,RID3418.Observation
pharyngitis,RID3539.Observation
chronic acalculous gallbladder disease,RID34664.Observation
gastritis,RID3450.Observation
meningitis,RID3494.Observation
meningoencephalitis,RID3499.Observation
encephalitis,RID3411.Observation
panniculitis,RID3532.Observation
duodenitis,RID3410.Observation
pericarditis,RID3534.Observation
sialadenitis,RID3655.Observation
parotitis,RID3533.Observation
cholecystitis,RID3394.Observation
ventriculitis,RID3701.Observation
pyelonephritis,RID3547.Observation
myocarditis,RID3503.Observation
neuritis,RID3505.Observation
retinitis,RID3549.Observation
myositis,RID3504.Observation
orbital pseudotumor,RID3506.Observation
xanthogranulomatous inflammation,RID3706.Observation
gastroenteritis,RID3461.Observation
cholangitis,RID3384.Observation
Grisel syndrome,RID3464.Observation
pneumonitis,RID3541.Observation
pleuritis,RID3540.Observation
surfer ear,RID3664.Observation
sinusitis,RID3663.Observation
posterior scleritis,RID3542.Observation
pyelitis,RID3545.Observation
myelitis,RID3501.Observation
thyroiditis,RID3666.Observation
sepsis,RID39263.Observation
hepatitis,RID3467.Observation
mesenteritis,RID3500.Observation
prostatitis,RID3544.Observation
Kimura disease,RID3480.Observation
bronchiolitis,RID28499.Observation
apophysitis,RID29104.Observation
labyrinthine ossification,RID3481.Observation
epicondylitis,RID3437.Observation
uveomeningitic syndrome,RID3678.Observation
epiglottitis,RID3438.Observation
otitis,RID3517.Observation
hypophysitis,RID3472.Observation
cholesterol granuloma,RID3398.Observation
rheumatic disease,RID3552.Observation
Tolosa-Hunt syndrome,RID3673.Observation
inflammatory bowel disease,RID3474.Observation
keratosis obturans,RID3477.Observation
ureteritis,RID3675.Observation
tonsillitis,RID3674.Observation
choroid plexitis,RID3399.Observation
Kawasaki disease,RID3478.Observation
chronic sclerosing mediastinitis,RID3491.Observation
osteitis fibrosa cystica,RID3525.Observation
condensing osteitis,RID3526.Observation
membranous cyclitis,RID3404.Observation
eosinophilic cystitis,RID3703.Observation
cystitis glandularis,RID3705.Observation
cystitis cystica,RID3704.Observation
autoimmune pancreatitis,RID3530.Observation
hereditary pancreatitis,RID3531.Observation
histiocytic necrotizing lymphadenitis,RID3486.Observation
infectious esophagitis,RID3442.Observation
reflux esophagitis,RID3441.Observation
eosinophilic esophagitis,RID3444.Observation
radiation-induced esophagitis,RID3443.Observation
esophageal intramural pseudodiverticulosis,RID3445.Observation
Wegener granulomatosis,RID3702.Observation
arteritis,RID3682.Observation
primary angiitis of central nervous system,RID3697.Observation
phlebitis,RID3699.Observation
lymphomatoid granulomatosis,RID3689.Observation
polyarteritis,RID3691.Observation
primary systemic arteritis,RID3693.Observation
leukocytoclastic vasculitis,RID3695.Observation
aortitis,RID3684.Observation
arteriolitis,RID3683.Observation
giant cell arteritis,RID3686.Observation
essential mixed cryoglobulinemia,RID3685.Observation
pulmonary arteritis,RID3696.Observation
hypersensitivity angiitis,RID3688.Observation
polyarteritis nodosa,RID3692.Observation
Takayasu arteritis,RID3694.Observation
temporal arteritis,RID3687.Observation
thrombophlebitis,RID3700.Observation
necrotizing fasciitis,RID3447.Observation
necrotizing fasciitis of perineum and genitals,RID3448.Observation
acute disseminated encephalomyelitis,RID3415.Observation
meconium peritonitis,RID3536.Observation
backwash ileitis,RID3419.Observation
colitis,RID3421.Observation
diversion colitis,RID3426.Observation
necrotizing enterocolitis,RID3436.Observation
microscopic colitis,RID3428.Observation
colitis cystica profunda,RID3427.Observation
ischemic colitis,RID3431.Observation
eosinophilic colitis,RID3430.Observation
drug-induced colitis,RID3433.Observation
neutropenic enterocolitis,RID3422.Observation
stercoral colitis,RID3432.Observation
clostridium difficile colitis,RID3424.Observation
glutaraldehyde colitis,RID3435.Observation
caustic colitis,RID3434.Observation
emphysematous gastritis,RID3459.Observation
atrophic gastritis,RID3458.Observation
eosinophilic gastritis,RID3460.Observation
helicobacter pylori gastritis,RID3451.Observation
erosive gastritis,RID3453.Observation
antral gastritis,RID3455.Observation
caustic gastritis,RID3454.Observation
hypertrophic gastritis,RID3456.Observation
leptomeningitis,RID3495.Observation
basilar meningitis,RID3497.Observation
pachymeningitis,RID3498.Observation
arachnoiditis,RID3496.Observation
rhombencephalitis,RID3413.Observation
constrictive pericarditis,RID28796.Observation
chronic sclerosing sialadenitis,RID3657.Observation
sialodochitis,RID3659.Observation
sialodochitis fibrinosa,RID3661.Observation
emphysematous cholecystitis,RID3396.Observation
acalculous cholecystitis,RID3395.Observation
gangrenous cholecystitis,RID3397.Observation
optic neuritis,RID28824.Observation
Guillain-Barre syndrome,RID3465.Observation
exudative retinitis,RID3550.Observation
sclerosing osteomyelitis,RID3514.Observation
Brodie abscess,RID3513.Observation
chronic symmetric plasma cell osteomyelitis,RID3515.Observation
periscleritic form orbital pseudotumor,RID3507.Observation
myositic form orbital pseudotumor,RID3509.Observation
tumefactive form orbital pseudotumor,RID3508.Observation
perineuritic orbital pseudotumor,RID3510.Observation
diffuse orbital pseudotumor,RID3512.Observation
lacrimal orbital pseudotumor,RID3511.Observation
xanthogranulomatous pyelonephritis,RID3707.Observation
xanthogranulomatous cholecystitis,RID3709.Observation
eosinophilic gastroenteritis,RID3462.Observation
AIDS cholangitis,RID3392.Observation
eosinophilic cholangitis,RID3393.Observation
obstructive cholangitis,RID3387.Observation
primary sclerosing cholangitis,RID3386.Observation
recurrent pyogenic cholangitis,RID3389.Observation
ascending cholangitis,RID3388.Observation
pyelitis cystica,RID3546.Observation
transverse myelitis,RID3502.Observation
subacute thyroiditis,RID3668.Observation
suppurative thyroiditis,RID3667.Observation
Hashimoto thyroiditis,RID3669.Observation
Grave disease,RID3671.Observation
Riedel thyroiditis,RID3670.Observation
nonalcoholic steatohepatitis,RID3469.Observation
neonatal hepatitis,RID3471.Observation
steatohepatitis,RID3468.Observation
respiratory broncholitis associated interstitial lung disease,RID5339.Observation
otitis media,RID3518.Observation
otitis externa,RID3519.Observation
acute external otitis,RID3521.Observation
malignant otitis externa,RID3520.Observation
lymphocytic hypophysitis,RID3473.Observation
tendinitis,RID3649.Observation
dermatomyositis,RID34666.Observation
periarthritis,RID3629.Observation
tenosynovitis,RID3651.Observation
polymyalgia rheumatica,RID3653.Observation
arthritis,RID3553.Observation
fibromyalgia,RID3652.Observation
synovitis,RID3630.Observation
polymyositis,RID3654.Observation
chronic arthritis of juvenile onset,RID3609.Observation
diabetic cheiroarthropathy,RID3613.Observation
oxalate-related arthritis and periarthritis,RID3626.Observation
amyloid arthropathy,RID34770.Observation
intra-articular steroid-induced arthritis,RID3625.Observation
infective arthritis,RID3614.Observation
spondyloarthropathy,RID3603.Observation
post-infective arthritis,RID3628.Observation
post-immunization arthritis,RID3627.Observation
inflammatory polyarthropathy,RID3619.Observation
rheumatoid arthritis,RID3561.Observation
deforming nonerosive arthropathy,RID3563.Observation
Reiter syndrome,RID3562.Observation
psoriatic arthritis,RID3554.Observation
crystal induced arthritis,RID3565.Observation
osteoarthritis,RID3555.Observation
seronegative juvenile rheumatoid arthritis,RID3611.Observation
juvenile rheumatoid arthritis,RID3610.Observation
infective discitis,RID3617.Observation
tuberculous arthritis,RID34699.Observation
suppurative arthritis,RID3618.Observation
ankylosing spondylitis,RID3604.Observation
renal spondyloarthropathy,RID3605.Observation
seronegative spondyloarthropathy,RID3608.Observation
Rieter arthritis,RID3607.Observation
dialysis spondyloarthropathy,RID3606.Observation
migratory polyarthritis,RID3624.Observation
lipoid dermatoarthritis,RID3623.Observation
degenerative polyarthritis,RID3620.Observation
infective polyarthritis,RID3622.Observation
idiopathic polyarthritis,RID3621.Observation
arthritis mutilans,RID34715.Observation
arthritis of calcium oxalate crystal deposition,RID3602.Observation
calcium pyrophosphate dehydrate crystal deposition disease,RID3570.Observation
calcium hydroxyapatite crystal deposition disease,RID3594.Observation
pyrophosphate arthritis,RID3593.Observation
arthritis of hemochromatosis,RID3598.Observation
arthritis of cholesterol crystal deposition,RID3600.Observation
gout arthritis,RID3567.Observation
arthritis of alkaptonuria,RID3599.Observation
pseudo-osteoarthritis,RID3581.Observation
pseudo-gout,RID3572.Observation
asymptomatic calcium pyrophosphate dehydrate crystal deposition disease,RID3584.Observation
pseudo-neuroarthropathy,RID3587.Observation
pseudo-rheumatoid,RID3575.Observation
pseudo-arthritis,RID3578.Observation
calcium pyrophosphate dehydrate crystal deposition disease miscellaneous pattern,RID3590.Observation
apatite-associated destructive arthritis,RID3596.Observation
calcific periarthritis,RID3597.Observation
erosive osteoarthritis,RID3559.Observation
osteoarthritis deformans,RID3560.Observation
endemic osteoarthritis,RID3556.Observation
Malemud disease,RID3558.Observation
Kashin-Bek disease,RID3557.Observation
villonodular synovitis,RID3648.Observation
infectious synovitis,RID3637.Observation
granulomatous synovitis,RID3636.Observation
traumatic synovitis,RID3647.Observation
lymphocytic plasmacytic synovitis,RID3639.Observation
Hoffa disease,RID3638.Observation
pannus,RID3640.Observation
acute serous synovitis,RID3631.Observation
plant thorn synovitis,RID3642.Observation
transitory synovitis,RID34690.Observation
pigmented villonodular synovitis,RID3641.Observation
synovitis due to foreign material,RID3644.Observation
bursitis,RID3632.Observation
proliferative synovitis,RID3643.Observation
starch synovitis,RID3646.Observation
silicone synovitis,RID3645.Observation
lumbar interspinous bursitis,RID3634.Observation
septic bursitis,RID3633.Observation
Crohn disease,RID3475.Observation
ulcerative colitis,RID3476.Observation
eosinophilic ureteritis,RID3677.Observation
ureteritis cystica,RID3676.Observation
abscess,RID3711.Observation
petrous apicitis,RID3537.Observation
pyonephrosis,RID3548.Observation
viral infection,RID34687.Observation
osteomyelitis,RID3715.Observation
epiploic appendagitis,RID34688.Observation
ascariasis,RID34685.Observation
bacterial infection,RID34686.Observation
infection by tapeworm larvae,RID34757.Observation
aspergillosis,RID34591.Observation
rubella,RID34627.Observation
tubo-ovarian abscess,RID3712.Observation
empyema,RID3714.Observation
subphrenic abscess,RID3713.Observation
fungal microabscess,RID45672.Observation
cytomegalic inclusion disease,RID34629.Observation
bacterial infectious disease,RID34764.Observation
pelvic inflammatory disease,RID3716.Observation
cellulitis,RID34641.Observation
rhinoscleroma,RID3719.Observation
syphilis,RID34765.Observation
tuberculosis,RID29116.Observation
pertussis,RID34768.Observation
tuberculous spondylitis,RID3725.Observation
cysticercosis,RID34758.Observation
allergic bronchopulmonary aspergillosis,RID34668.Observation
maternal rubella,RID34628.Observation
bladder disorder,RID5297.Observation
upper gastrointestinal tract disorder,RID5264.Observation
intestinal disorder,RID5273.Observation
bone disorder,RID5361.Observation
blood disease,RID34417.Observation
neurological disorder,RID29114.Observation
liver disorder,RID34712.Observation
speech pathology,RID46063.Observation
disorder of immune function,RID34727.Observation
urogenital finding,RID39107.Observation
ear-nose-throat disorder,RID34761.Observation
cerebrovascular disease,RID38604.Observation
integument disorder,RID5355.Observation
claw foot,RID35083.Observation
disorder of endocrine system,RID5353.Observation
cardiovascular disorder,RID3233.Observation
disorder of peritoneum,RID39156.Observation
disorder of spine,RID39135.Observation
respiratory disorder,RID5316.Observation
claw hand,RID35084.Observation
neurogenic bladder disease,RID5298.Observation
detrusor hyperreflexia,RID5299.Observation
detrusor areflexia,RID5302.Observation
uninhibited bladder,RID5300.Observation
columnar epithelium lined lower esophagus,RID5271.Observation
esophageal web,RID34693.Observation
regurgitation,RID39238.Observation
presbyphagia,RID5268.Observation
dysphagia,RID5266.Observation
vomiting,RID39186.Observation
pharyngeal dysphagia,RID5267.Observation
Whipple disease,RID5281.Observation
neuronal intestinal dysplasia,RID5292.Observation
congenital aganglionosis of colon,RID5282.Observation
fibrosing colonopathy,RID5290.Observation
intestinal pseudoobstruction,RID5291.Observation
tropical sprue,RID5280.Observation
malabsorption,RID5275.Observation
chronic intestinal pseudo-obstruction,RID5286.Observation
meconium ileus,RID5272.Observation
meconium plug,RID5284.Observation
distal intestinal obstruction syndrome,RID5287.Observation
celiac disease,RID5277.Observation
bacterial overgrowth syndrome,RID5276.Observation
polyostotic fibrous dysplasia,RID34709.Observation
acroosteolysis,RID5384.Observation
fracture healing disorder,RID5362.Observation
relapsing polychondritis,RID5385.Observation
osteolysis,RID5382.Observation
joint disorder,RID5393.Observation
skeletal dysplasia,RID34679.Observation
hypertrophic osteoarthropathy,RID34789.Observation
incomplete femoral head coverage,RID5366.Observation
intraarticular osseous body,RID5367.Observation
bone mineralization disorder,RID5386.Observation
thyroid acropachy,RID5420.Observation
Hill-Sachs deformity,RID5365.Observation
skull shape disorder,RID5403.Observation
pseudarthrosis,RID5401.Observation
overtubulation,RID5402.Observation
fracture nonunion,RID5363.Observation
fracture malunion,RID5364.Observation
Gorham vanishing bone disease,RID35245.Observation
ankylosis,RID5395.Observation
cartilage disorder,RID5396.Observation
chondrolysis,RID5399.Observation
chondromalacia,RID5400.Observation
cartilage defect,RID5397.Observation
chondrocalcinosis,RID5398.Observation
grade IV chondromalacia,RID6360.Observation
grade I chondromalacia,RID6357.Observation
grade II chondromalacia,RID6358.Observation
grade III chondromalacia,RID6359.Observation
diastrophic dysplasia,RID34680.Observation
osteomalacia,RID5391.Observation
osteopetrosis,RID5392.Observation
demineralization,RID5387.Observation
osteopenia,RID5388.Observation
osteoporosis,RID5389.Observation
transient osteoporosis,RID5390.Observation
scaphocephaly,RID5418.Observation
turricephaly,RID5419.Observation
oxycephaly,RID5416.Observation
plagiocephaly,RID5417.Observation
bathrocephaly,RID5411.Observation
oocephalus,RID5415.Observation
brachycephaly,RID5412.Observation
dolicocephaly,RID5413.Observation
red blood cell disorder,RID34677.Observation
sickle cell anemia,RID34676.Observation
hemolytic anemia,RID34678.Observation
thalassemia,RID34418.Observation
myelopathy,RID28802.Observation
disorder of meninges,RID34771.Observation
brain death,RID34681.Observation
neurocutaneous syndrome,RID34753.Observation
disorder of brain,RID5055.Observation
neuropathy,RID29115.Observation
disorder of spinal cord,RID39188.Observation
Charcot-Marie-Tooth disease,RID34634.Observation
seizure,RID28806.Observation
familial dysautonomia,RID5269.Observation
memory loss,RID43370.Observation
meningocele,RID34772.Observation
tuberous sclerosis syndrome,RID34754.Observation
pneumocephalus,RID4800.Observation
Wernicke encephalopathy,RID5065.Observation
congenital anomaly of brain,RID34732.Observation
cerebellar disorder,RID34721.Observation
cerebral palsy,RID34633.Observation
Wallerian degeneration,RID5066.Observation
toxic encephalopathy,RID5058.Observation
degenerative brain disorder,RID34724.Observation
hypoxic-ischemic encephalopathy,RID5056.Observation
increased intracranial pressure,RID34800.Observation
encephalomalacia,RID39076.Observation
tension pneumocephalus,RID34726.Observation
holoprosencephaly sequence,RID34733.Observation
lobar holoprosencephaly,RID34735.Observation
alobar holoprosencephaly,RID34734.Observation
dysgenesis of cerebellum,RID34722.Observation
aplasia of vermis,RID34723.Observation
familial aplasia of vermis,RID34838.Observation
hyperammonemic encephalopathy,RID5064.Observation
kernicterus,RID5059.Observation
pigmentary pallidal degeneration,RID34725.Observation
radiculopathy,RID28805.Observation
myelomalacia,RID39136.Observation
congenital hepatic fibrosis,RID34713.Observation
graft versus host disease,RID34756.Observation
immunodeficiency disorder,RID34728.Observation
autoimmune disease,RID38591.Observation
AIDS,RID34730.Observation
congenital agammaglobulinemia,RID34729.Observation
lupus,RID28800.Observation
disorder of reproductive system,RID39108.Observation
kidney disorder,RID5303.Observation
infertility,RID39109.Observation
segmental renal hypoplasia,RID35023.Observation
hereditary nephritis,RID5296.Observation
renal parenchymal disease,RID5304.Observation
uremia,RID5308.Observation
renal failure,RID5307.Observation
acute tubular necrosis,RID5311.Observation
interstitial nephritis,RID5312.Observation
reflux nephropathy,RID5315.Observation
hemolytic uremic syndrome,RID5313.Observation
azotemia,RID5309.Observation
nose disorder,RID34762.Observation
pulsatile tinnitus,RID28804.Observation
nasal septum deviation,RID34763.Observation
Moyamoya disease,RID38605.Observation
nipple changes,RID34314.Observation
skin lesion,RID34267.Observation
skin retraction,RID34383.Observation
psoriasis,RID34691.Observation
wart,RID5357.Observation
skin thickening,RID34270.Observation
nipple retraction,RID34269.Observation
condylomata acuminata,RID5358.Observation
diffuse skin thickening,RID34317.Observation
focal skin thickening,RID34316.Observation
hyperthyroidism,RID45793.Observation
hyperparathyroidism,RID34610.Observation
hypoglycemia,RID5354.Observation
acromegaly,RID34836.Observation
myocardial bridge,RID39137.Observation
vascular disorder,RID3284.Observation
heart disease,RID3234.Observation
atherosclerotic plaque,RID3290.Observation
loin pain hematuria syndrome,RID5294.Observation
hypotension,RID34689.Observation
fibromuscular dysplasia,RID3309.Observation
retrolental fibroplasia,RID3362.Observation
arteriosclerosis,RID3285.Observation
Terson syndrome,RID3365.Observation
aneurysm,RID3321.Observation
varix,RID3366.Observation
vascular entrapment syndrome,RID3303.Observation
Budd-Chiari syndrome,RID46044.Observation
vasospasm,RID3380.Observation
CADASIL,RID3360.Observation
portal hypertension,RID34614.Observation
vascular disease,RID46041.Observation
persistent embryonic trigeminal artery,RID34782.Observation
veno-occlusive disease,RID3316.Observation
dissection,RID3317.Observation
post-myocardial infarction syndrome,RID3297.Observation
pulmonary hypertension,RID3299.Observation
ischemia,RID3376.Observation
thromboangiitis obliterans,RID3310.Observation
vascular malformation,RID3332.Observation
collateral,RID3375.Observation
pseudoaneurysm,RID3331.Observation
amyloid angiopathy,RID3312.Observation
hypertension,RID39097.Observation
renal hypertension,RID3313.Observation
vasoconstriction,RID3379.Observation
fibrous plaque,RID3291.Observation
medial calcinosis,RID3292.Observation
atherosclerosis,RID39049.Observation
Binswanger disease,RID3295.Observation
fatty streak,RID3288.Observation
diffuse intimal thickening,RID3289.Observation
lymphangiectasia,RID3327.Observation
dissecting aortic aneurysm,RID34793.Observation
ruptured aneurysm,RID3326.Observation
fusiform aneurysm,RID3329.Observation
mycotic aneurysm,RID3328.Observation
atherosclerotic aneurysm,RID39249.Observation
berry aneurysm,RID3323.Observation
saccular aneurysm,RID3322.Observation
angiodysplasia,RID3370.Observation
ovarian vein varix,RID3372.Observation
arterioportal or arteriovenous shunt,RID3371.Observation
peliosis,RID3374.Observation
varicocele,RID39184.Observation
arcuate ligament syndrome,RID3305.Observation
thoracic outlet syndrome,RID3304.Observation
May-Thurner syndrome,RID3307.Observation
adductor canal syndrome,RID3308.Observation
peripheral vascular disease,RID3302.Observation
arterial dissection,RID3319.Observation
aortic dissection,RID3320.Observation
postcapillary pulmonary hypertension,RID3301.Observation
precapillary pulmonary hypertension,RID3300.Observation
transient ischemic attack,RID3377.Observation
mesenteric ischemia,RID38592.Observation
vascular disorder of spinal cord,RID3349.Observation
telangiectasia,RID3348.Observation
high-flow vascular malformation,RID3333.Observation
low-flow vascular malformation,RID3336.Observation
Type I spinal-dural AV fistula,RID3350.Observation
Type II vascular malformation of spinal cord,RID3354.Observation
Type III vascular malformation of spinal cord,RID3356.Observation
Type IV fistula,RID3358.Observation
arteriovenous malformation,RID3334.Observation
venous malformation,RID3337.Observation
lymphatic malformation,RID3341.Observation
lymphatic-venous malformation,RID3344.Observation
capillary malformation,RID3346.Observation
renovascular hypertension,RID3315.Observation
renal parenchymal hypertension,RID3314.Observation
pericardial disease,RID3280.Observation
