Radlex descriptor,RID6.Modifier
GeneralAnesthesiaStarted,RID45867.Modifier
PersFollow,RID45903.Modifier
HumanProcComplete,RID45869.Modifier
PeerReviewStarted,RID45902.Modifier
PostProcCoord,RID45905.Modifier
PersonalNotification,RID45904.Modifier
DischargeTime,RID45860.Modifier
ExamCancelled,RID45862.Modifier
EducationSearch,RID45861.Modifier
resource timestamp,RID45985.Modifier
ExamExported,RID45864.Modifier
ExamReassigned,RID45863.Modifier
DelayedAddl,RID45855.Modifier
CritNotification,RID45854.Modifier
report index,RID45975.Modifier
DeskInfo,RID45857.Modifier
DeleteExam,RID45856.Modifier
Dictated,RID45859.Modifier
DictatationStartTime,RID45858.Modifier
CorrectedDic,RID45851.Modifier
ReportCorrected,RID45850.Modifier
CorrelationReview,RID45853.Modifier
CorrectedTrx,RID45852.Modifier
CloseApplicationForInterpretation,RID45844.Modifier
ClinicalImageView,RID45843.Modifier
Coded,RID45846.Modifier
CodeCorrection,RID45845.Modifier
ConfirmConsent,RID45848.Modifier
ImagingComplete,RID45847.Modifier
Consult,RID45849.Modifier
WaitingForConsent,RID45970.Modifier
WaitingForTech,RID45961.Modifier
WaitingForTransport,RID45972.Modifier
PatientBumpedForCriticalPatient,RID45971.Modifier
WaitingForNurse,RID45960.Modifier
WaitingForModality,RID45963.Modifier
PatientNeedsScreening,RID45974.Modifier
Artifact or ImproperPositioning,RID45973.Modifier
WaitingForRoom,RID45962.Modifier
EquipmentFalureNOS,RID45965.Modifier
PatientDidNotArrive,RID45954.Modifier
SystemDown,RID45964.Modifier
WaitingForReferringService,RID45967.Modifier
WaitingForRadiologists,RID45956.Modifier
ResourceNotAvailable,RID45955.Modifier
NoChecklist,RID45966.Modifier
PatientNotReady,RID45958.Modifier
PatientRequiresSedation,RID45969.Modifier
PatientNotScheduledorExpected,RID45968.Modifier
WaitingforAnesthesiaCoverage,RID45957.Modifier
PrepWorkNotComplete,RID45959.Modifier
RoomOpened,RID45990.Modifier
RISDown,RID45992.Modifier
RoomClosed,RID45991.Modifier
PACSDown,RID45994.Modifier
RISUp,RID45993.Modifier
EMRDown,RID45996.Modifier
PACSUp,RID45995.Modifier
ModalityDown,RID45998.Modifier
ModalityScheduledUnavailable,RID45987.Modifier
EMRUp,RID45997.Modifier
ModalityScheduledAvailable,RID45986.Modifier
RoomScheduledUnavailable,RID45989.Modifier
RoomScheduledAvailable,RID45988.Modifier
ModalityUp,RID45999.Modifier
AcquisitionDuration,RID45981.Modifier
RoomDuration,RID45980.Modifier
ModalityToPACSTransferTime,RID45983.Modifier
TimeFromStatOrderToAcquistion,RID45982.Modifier
JCCritnotification,RID45984.Modifier
ReportTurnAroundTime,RID45976.Modifier
ModalityUtilization,RID45978.Modifier
RoomUtilization,RID45977.Modifier
PatientWait,RID45979.Modifier
minimal,RID5670.Modifier
both,RID5770.Modifier
none,RID28454.Modifier
absent,RID28473.Modifier
plural,RID39408.Modifier
present,RID28472.Modifier
all,RID5769.Modifier
sufficient,RID39114.Modifier
elevated amount,RID39313.Modifier
inadequate,RID39106.Modifier
single,RID5762.Modifier
few,RID5763.Modifier
insufficient,RID39113.Modifier
too little,RID5766.Modifier
too much,RID5767.Modifier
multiple,RID5765.Modifier
more than 5,RID38661.Modifier
innumerable,RID38662.Modifier
cavoatrial,RID49446.Modifier
perilobar,RID43267.Modifier
suprarenal,RID49447.Modifier
cortical,RID45765.Modifier
perilymphatic,RID43268.Modifier
infrarenal,RID49448.Modifier
bronchovascular,RID46051.Modifier
intracoronal,RID46053.Modifier
circumaortic,RID39209.Modifier
supraclinoid,RID39242.Modifier
supralevator,RID39243.Modifier
transperitoneal,RID39245.Modifier
subcapsular (liver),RID39480.Modifier
adjacent to gallbladder,RID43295.Modifier
extraperitoneal,RID6250.Modifier
distorts hepatic vein,RID43330.Modifier
abuts portal vein,RID43331.Modifier
head location descriptor,RID6375.Modifier
interstitial,RID6251.Modifier
displaces portal vein,RID43333.Modifier
infiltrates wall into lumen of portal vein,RID43334.Modifier
intertarsal,RID39118.Modifier
retroaortic,RID39239.Modifier
ischioanal,RID39119.Modifier
basilar,RID5834.Modifier
transglottic,RID39318.Modifier
pial,RID39236.Modifier
pedicular,RID39231.Modifier
suprapedicular,RID39232.Modifier
infrapedicular,RID39111.Modifier
intramural,RID6247.Modifier
perivascular,RID39474.Modifier
perihilar,RID39233.Modifier
abuts capsule of liver,RID43327.Modifier
bulges capsule of liver,RID43328.Modifier
abuts hepatic vein,RID43329.Modifier
dural,RID39272.Modifier
extramural,RID6248.Modifier
cranial,RID5831.Modifier
parovarian,RID39230.Modifier
with implants,RID45706.Modifier
intraperitoneal,RID6249.Modifier
spinal segment descriptor,RID6140.Modifier
subpleural,RID46032.Modifier
dorsal,RID5847.Modifier
ventral,RID5848.Modifier
paraaortic,RID39229.Modifier
inferoseptal,RID39103.Modifier
transvaginal,RID39543.Modifier
septal,RID39264.Modifier
femoral,RID39221.Modifier
transrectal,RID39542.Modifier
intervertebral level descriptor,RID6179.Modifier
myocardium layer descriptor,RID6256.Modifier
gluteal,RID39223.Modifier
ulnar,RID39267.Modifier
pre-aortic,RID39261.Modifier
ectopic,RID5841.Modifier
panacinar,RID46023.Modifier
paracicatricial,RID46025.Modifier
paraseptal,RID46024.Modifier
paraspinal,RID6307.Modifier
subarticular,RID6308.Modifier
extraforaminal,RID6305.Modifier
foraminal,RID6306.Modifier
anteroseptal,RID39251.Modifier
disc location,RID6304.Modifier
infratentorial,RID6381.Modifier
intraaxial,RID6382.Modifier
extraaxial,RID6380.Modifier
petrous,RID6385.Modifier
subarachnoid,RID6386.Modifier
intracranial,RID6383.Modifier
periventricular,RID6384.Modifier
supratentorial,RID6389.Modifier
epidural,RID6378.Modifier
extracranial,RID6379.Modifier
cavernous,RID6376.Modifier
subcortical,RID6387.Modifier
dural based,RID6377.Modifier
subdural,RID6388.Modifier
thoracic spine descriptor,RID6150.Modifier
cervical spine descriptor,RID6141.Modifier
lumbar spine descriptor,RID6163.Modifier
coccygeal spine descriptor,RID6175.Modifier
sacral spine descriptor,RID6169.Modifier
T11,RID6161.Modifier
T12,RID6162.Modifier
T1,RID6151.Modifier
T10,RID6160.Modifier
T4,RID6154.Modifier
T5,RID6155.Modifier
T2,RID6152.Modifier
T3,RID6153.Modifier
T8,RID6158.Modifier
T9,RID6159.Modifier
T6,RID6156.Modifier
T7,RID6157.Modifier
C2,RID6143.Modifier
C3,RID6144.Modifier
C1,RID6142.Modifier
C6,RID6147.Modifier
C7,RID6148.Modifier
C4,RID6145.Modifier
C5,RID6146.Modifier
C8,RID6149.Modifier
L2,RID6165.Modifier
L3,RID6166.Modifier
L1,RID6164.Modifier
L4,RID6167.Modifier
L5,RID6168.Modifier
coccygeal segment 1,RID6176.Modifier
coccygeal segment 2,RID6177.Modifier
coccygeal segment 3,RID6178.Modifier
S3,RID6172.Modifier
S4,RID6173.Modifier
S1,RID6170.Modifier
S2,RID6171.Modifier
S5,RID6174.Modifier
thoracic intervertebral level,RID6188.Modifier
lumbar intervertebral level,RID6201.Modifier
cervical intervertebral level,RID6180.Modifier
sacral intervertebral level,RID6207.Modifier
T6/T7,RID6194.Modifier
T7/T8,RID6195.Modifier
T4/T5,RID6192.Modifier
T5/T6,RID6193.Modifier
T10/T11,RID6198.Modifier
T11/T12,RID6199.Modifier
T8/T9,RID6196.Modifier
T9/T10,RID6197.Modifier
T1/T2,RID6189.Modifier
T12/L1,RID6200.Modifier
T2/T3,RID6190.Modifier
T3/T4,RID6191.Modifier
L1/L2,RID6202.Modifier
L2/L3,RID6203.Modifier
L5/S1,RID6206.Modifier
L3/L4,RID6204.Modifier
L4/L5,RID6205.Modifier
C3/C4,RID6183.Modifier
C4/C5,RID6184.Modifier
C1/C2,RID6181.Modifier
C2/C3,RID6182.Modifier
C7/T1,RID6187.Modifier
C5/C6,RID6185.Modifier
C6/C7,RID6186.Modifier
S1/S2,RID6208.Modifier
S2/S3,RID6209.Modifier
S3/S4,RID6210.Modifier
S4/S5,RID6211.Modifier
mid myocardium,RID6257.Modifier
disc containment,RID6323.Modifier
extraligamentous,RID6324.Modifier
submembranous,RID6327.Modifier
transligamentous,RID6328.Modifier
subcapsular (disc),RID6325.Modifier
subligamentous,RID6326.Modifier
intact,RID39115.Modifier
hypoinflated,RID39099.Modifier
degenerated,RID39067.Modifier
hypokinetic,RID39101.Modifier
impeded,RID39256.Modifier
fractured,RID39086.Modifier
hypogastric,RID39098.Modifier
mobile,RID5924.Modifier
in transit,RID5925.Modifier
dyskinetic,RID39071.Modifier
sliding,RID5922.Modifier
pulsatile,RID5923.Modifier
elongated,RID39072.Modifier
immobile,RID5926.Modifier
cavitated,RID46014.Modifier
serpentine,RID5908.Modifier
serpiginous,RID5909.Modifier
blunted,RID5869.Modifier
reticular,RID5902.Modifier
retractile,RID5903.Modifier
punctate,RID5900.Modifier
atrophic,RID5867.Modifier
reconstructed,RID5901.Modifier
bilobed,RID5868.Modifier
sclerosing,RID5906.Modifier
septated,RID5907.Modifier
ruptured,RID5904.Modifier
scarred,RID5905.Modifier
flat,RID6277.Modifier
convex,RID39046.Modifier
amorphous,RID5865.Modifier
concave,RID39041.Modifier
aphthous,RID5866.Modifier
aerated,RID5864.Modifier
flattened,RID5880.Modifier
unilocular,RID5919.Modifier
tethered,RID5913.Modifier
thickened,RID5914.Modifier
sharp,RID5911.Modifier
fatty,RID5878.Modifier
smooth,RID5912.Modifier
fibrous,RID5879.Modifier
truncated,RID5917.Modifier
ulcerated,RID5918.Modifier
thinned,RID5915.Modifier
tortuous,RID5916.Modifier
conglomerate,RID5872.Modifier
consolidated,RID5873.Modifier
bulky,RID5870.Modifier
compressed,RID5871.Modifier
arcuate,RID39311.Modifier
emphysematous,RID5876.Modifier
eroded,RID5877.Modifier
shallow,RID5910.Modifier
bowed,RID39031.Modifier
discoid,RID5874.Modifier
distorted,RID5875.Modifier
short,RID7471.Modifier
globular,RID13428.Modifier
unfolded,RID39269.Modifier
polyp morphology characteristic,RID6273.Modifier
multilobulated,RID39133.Modifier
gently lobulated,RID34351.Modifier
angular,RID34356.Modifier
thick interrupted,RID45756.Modifier
thin interrupted,RID45757.Modifier
lamellated or onion skin,RID45752.Modifier
continuous,RID45753.Modifier
rounded,RID39478.Modifier
long,RID6123.Modifier
tubular,RID6124.Modifier
round,RID5799.Modifier
mixed,RID5890.Modifier
rectangular,RID43288.Modifier
multilocular,RID5891.Modifier
irregular,RID5809.Modifier
lobular,RID5801.Modifier
lipid,RID5889.Modifier
nodular,RID5802.Modifier
symmetrical,RID5807.Modifier
asymmetrical,RID5808.Modifier
polypoid,RID5805.Modifier
pedunculated,RID5806.Modifier
nonpatent,RID39227.Modifier
plateau,RID34334.Modifier
hydrated,RID5883.Modifier
polygonal,RID34291.Modifier
hyperinflated,RID5884.Modifier
fungating,RID5881.Modifier
fusiform,RID5882.Modifier
fine pleomorphic,RID34294.Modifier
invaginated,RID5887.Modifier
varicoid,RID5920.Modifier
oval,RID5800.Modifier
lacunar,RID5888.Modifier
fine linear,RID34292.Modifier
impinged,RID5885.Modifier
indented,RID5886.Modifier
coarse heterogeneous,RID34293.Modifier
serrated,RID39171.Modifier
spoke-wheel,RID5814.Modifier
eggshell,RID34287.Modifier
large rod-like,RID34288.Modifier
straightened,RID5815.Modifier
coarse,RID34285.Modifier
wedge-shaped,RID5812.Modifier
beaded,RID5813.Modifier
lucent-centered,RID34289.Modifier
curved,RID5816.Modifier
occluded,RID5894.Modifier
patent,RID5895.Modifier
microlobulated,RID34280.Modifier
narrowed,RID5892.Modifier
obstructed,RID5893.Modifier
plate-like,RID5810.Modifier
pleomorphic,RID5898.Modifier
puckered,RID5899.Modifier
spiculated,RID34284.Modifier
patulous,RID5896.Modifier
plaquelike,RID5897.Modifier
adenomatous,RID6275.Modifier
hyperplastic,RID6276.Modifier
villous,RID6274.Modifier
sessile,RID6279.Modifier
on a stalk,RID6278.Modifier
thick continuous,RID45754.Modifier
thin continuous,RID45755.Modifier
micronodular,RID5803.Modifier
macronodular,RID5804.Modifier
high-risk,RID46067.Modifier
average-risk,RID46068.Modifier
guidance descriptor,RID49443.Modifier
patient state,RID28667.Modifier
follow-through,RID48085.Modifier
imaging acquisition rate,RID12509.Modifier
radiation dose,RID12963.Modifier
orderable priority,RID10388.Modifier
on call,RID38603.Modifier
orderable technique,RID10382.Modifier
physician requirement,RID38598.Modifier
area of interest,RID13066.Modifier
patient orientation,RID10461.Modifier
medication administration attribute,RID11078.Modifier
body region covered,RID13063.Modifier
imaging pass,RID45657.Modifier
with delayed imaging,RID43556.Modifier
priority,RID13070.Modifier
monitored,RID49445.Modifier
ultrasound-guided,RID49444.Modifier
under stress,RID28658.Modifier
during symptoms,RID12536.Modifier
at rest,RID12535.Modifier
stat blue,RID10389.Modifier
stat,RID10390.Modifier
urgent,RID10391.Modifier
routine,RID10392.Modifier
triphase,RID28659.Modifier
multiphase,RID38748.Modifier
single phase,RID38749.Modifier
limited evaluation,RID10386.Modifier
interoperative,RID28604.Modifier
complete evaluation,RID10387.Modifier
portable,RID10383.Modifier
dynamic,RID10385.Modifier
bucky,RID43578.Modifier
runoff,RID45802.Modifier
requiring a physician,RID38599.Modifier
not requiring a physician,RID38600.Modifier
feet first orientation,RID10463.Modifier
head first orientation,RID10462.Modifier
route of administration,RID11087.Modifier
intrasynovial,RID11149.Modifier
intratumor,RID11156.Modifier
intratympanic,RID11157.Modifier
intrauterine,RID11158.Modifier
intravascular,RID11159.Modifier
intrathoracic,RID11153.Modifier
intratubular,RID11155.Modifier
intratendinous,RID11150.Modifier
intratesticular,RID11151.Modifier
vaginal,RID11200.Modifier
irrigation,RID11167.Modifier
via existing access,RID11201.Modifier
laryngeal,RID11168.Modifier
nasal,RID11169.Modifier
cut down,RID11202.Modifier
open surgical,RID11203.Modifier
intraventricular,RID11163.Modifier
intravesical,RID11164.Modifier
intravitreal,RID11165.Modifier
iontophoresis,RID11166.Modifier
intravenous,RID11160.Modifier
intraduodenal,RID11127.Modifier
intradural,RID11128.Modifier
intraepidermal,RID11129.Modifier
intralesional,RID11134.Modifier
intraluminal,RID11135.Modifier
intralymphatic,RID11136.Modifier
intramedullary,RID11137.Modifier
endosinusial,RID11097.Modifier
intraesophageal,RID11130.Modifier
intragastric,RID11131.Modifier
endotracheal,RID11098.Modifier
enteral,RID11099.Modifier
intragingival,RID11132.Modifier
intraileal,RID11133.Modifier
dental,RID11093.Modifier
electroosmosis,RID11094.Modifier
endocervical,RID11095.Modifier
buccal,RID11090.Modifier
conjunctival,RID11091.Modifier
cutaneous,RID11092.Modifier
intrathecal,RID45772.Modifier
intrameningeal,RID11138.Modifier
intramuscular,RID11139.Modifier
intraprostatic,RID11145.Modifier
intrapulmonary,RID11146.Modifier
intrasinal,RID11147.Modifier
intraspinal,RID11148.Modifier
intraovarian,RID11141.Modifier
intrapericardial,RID11142.Modifier
intraperitoneal route,RID11143.Modifier
intrapleural,RID11144.Modifier
intraocular,RID11140.Modifier
intra-articular,RID11109.Modifier
interstitial route,RID11105.Modifier
intra-abdominal,RID11106.Modifier
intra-amniotic,RID11107.Modifier
intra-arterial,RID11108.Modifier
intrabursal,RID11112.Modifier
intracardiac,RID11113.Modifier
intracartilaginous,RID11114.Modifier
intracaudal,RID11115.Modifier
transtracheal,RID11196.Modifier
transtympanic,RID11197.Modifier
intrabiliary,RID11110.Modifier
ureteral,RID11198.Modifier
urethral,RID11199.Modifier
intrabronchial,RID11111.Modifier
topical,RID11192.Modifier
transdermal,RID11193.Modifier
transmucosal,RID11194.Modifier
transplacental,RID11195.Modifier
sublingual,RID11190.Modifier
submucosal,RID11191.Modifier
intracavernous,RID11116.Modifier
intracavitary,RID11117.Modifier
intracerebral,RID11118.Modifier
intracisternal,RID11119.Modifier
intracorporus cavernosum,RID11123.Modifier
intradermal,RID11124.Modifier
intradiscal,RID11125.Modifier
intraductal,RID11126.Modifier
intracorneal,RID11120.Modifier
intracoronal, dental,RID11121.Modifier
auricular,RID11088.Modifier
intracoronary,RID11122.Modifier
injection,RID28842.Modifier
laparascopic,RID11209.Modifier
transcutaneous needle puncture,RID11204.Modifier
peridural,RID11178.Modifier
perineural,RID11179.Modifier
oropharyngeal,RID11174.Modifier
parenteral,RID11175.Modifier
percutaneous,RID11176.Modifier
endoscopic,RID11210.Modifier
periarticular route,RID11177.Modifier
nasogastric,RID11170.Modifier
occlusive dressing technique,RID11171.Modifier
ophthalmic,RID11172.Modifier
oral,RID11173.Modifier
extra-amniotic,RID11101.Modifier
extracorporeal,RID11102.Modifier
hemodialysis,RID11103.Modifier
infiltration route,RID11104.Modifier
soft tissue administration,RID11185.Modifier
subarachnoid route,RID11186.Modifier
subconjunctival,RID11187.Modifier
subcutaneous,RID11188.Modifier
epidural route,RID11100.Modifier
rectal,RID11181.Modifier
respiratory,RID11182.Modifier
retrobulbar,RID11184.Modifier
periodontal,RID11180.Modifier
intravenous bolus,RID11161.Modifier
intravenous drip,RID11162.Modifier
manual injection,RID12809.Modifier
direct injection,RID10418.Modifier
transvenous,RID11208.Modifier
transhepatic,RID11205.Modifier
transpleural,RID11206.Modifier
transarterial,RID11207.Modifier
first pass,RID45658.Modifier
low,RID46059.Modifier
moderately high,RID46061.Modifier
high,RID46060.Modifier
medium,RID5775.Modifier
distribution pattern,RID5958.Modifier
modality-related characteristic,RID6033.Modifier
radiopacity,RID6034.Modifier
pattern descriptor,RID45797.Modifier
visibility descriptor,RID38770.Modifier
patchy,RID5704.Modifier
scattered,RID5705.Modifier
focal,RID5702.Modifier
multifocal,RID5703.Modifier
